Venue,Venue Latitude,Venue Longitude,Venue Category,Health System,geom,Address,Postcode,Borough,CVE GEO,Neighbourhood
Psiquiatría Del Hgr1 Imss Qro,20.580479,-100.40512,Doctor's Office,Public,"20.580479,-100.40512","IMSS, Avenida 5 de Febrero, Niños Héroes, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Laboratorio LABSA,20.5808988817326,-100.409009422329,Medical Lab,Private,"20.5808988817326,-100.409009422329","35, De Los Cedros, La Capilla, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011867,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
A&K Medical,20.5835563834186,-100.4035621006,Doctor's Office,Private,"20.5835563834186,-100.4035621006","Avenida De la Pradera, Fraccionamiento del Prado, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Unidad De Investigación Epidemiológica Y En Servicios De Salud,20.582645663256600,-100.404264026062,Goverment Center,Private,"20.582645663256603,-100.404264026062","IMSS, Avenida 5 de Febrero, Niños Héroes, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
CESAM Centro de salud mental,20.579081811845100,-100.40482388289400,Doctor's Office,Private,"20.579081811845104,-100.40482388289401","Centro Estatal de Salud Mental, Avenida 5 de Febrero, Virreyes, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011867,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Vida Care Diagnostico,20.5839730333507,-100.404489164483,Emergency Room,Private,"20.5839730333507,-100.404489164483","Circuito Del Mesón, Fraccionamiento del Prado, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011316,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Centro estatal de salud mental,20.579066327724,-100.404776086341,Medical Center,Public,"20.579066327724,-100.404776086341","Centro Estatal de Salud Mental, Avenida 5 de Febrero, Virreyes, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76070, México",76070,Queretaro,2201400011867,"Conjunto Terranova, El Retiro, Loma Linda, Prados del Mirador, Corregidora (Burocrata), Vista"
Centro Estatal de la Transfusión Sanguínea,20.5800739347527,-100.405646636186,Hospital,Public,"20.5800739347527,-100.405646636186","Hospital General de Queretaro, 5 de Febrero, La Sierrita, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76154, México",76154,Queretaro,2201400011867,El Retablo
Urgencias HGQ,20.579870063684200,-100.405674064606,Hospital,Public,"20.579870063684197,-100.405674064606","Hospital General de Queretaro, 5 de Febrero, La Sierrita, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76154, México",76154,Queretaro,2201400011867,El Retablo
Medicina Física Y Rehabilitación Dr Tonatiuh,20.5791512881536,-100.408085725667,Medical Center,Private,"20.5791512881536,-100.408085725667","Calle Virrey de Valladolid, Virreyes, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76176, México",76176,Queretaro,2201400011867,Prados de La Capilla
Capacits,20.578663,-100.405487,Hospital,Public,"20.578663,-100.405487","Plaza Galerias, Calle Virrey de Mendoza, Virreyes, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76176, México",76176,Queretaro,2201400011867,Prados de La Capilla
Clinica Dermatologica De Queretaro,20.579596,-100.408386,Doctor's Office,Private,"20.579596,-100.408386","Calle Virrey de Revillagigedo, Virreyes, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76176, México",76176,Queretaro,2201400011867,Prados de La Capilla
"Clinica Odontológica, UAQ",20.5798571795756,-100.411235252535,Dentist's Office,Private,"20.5798571795756,-100.411235252535","Facultad de Medicina, Prolongación Zaragoza, Ensueño, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76176, México",76176,Queretaro,2201400011848,Prados de La Capilla
Orthodontic Centers Of America,20.577595,-100.405443,Dentist's Office,Private,"20.577595,-100.405443","Plaza Galerias, Calle Virrey de Mendoza, Virreyes, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76176, México",76176,Queretaro,2201400011867,Prados de La Capilla
happy Teeth,20.573771110940900,-100.40472504611600,Dentist's Office,Private,"20.573771110940896,-100.40472504611601","Avenida Constituyentes, Lomas de Querétaro, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76176, México",76176,Queretaro,2201400010568,Prados de La Capilla
Clinica de Posgrado en Endodoncia UAQ,20.5798638904154,-100.411227820968,Medical Center,Public,"20.5798638904154,-100.411227820968","Facultad de Medicina, Prolongación Zaragoza, Ensueño, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76176, México",76176,Queretaro,2201400011848,Prados de La Capilla
RR Capilar,20.5851840474865,-100.413547754288,Doctor's Office,Private,"20.5851840474865,-100.413547754288","Galindas Residencial, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011570,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Nutrición,20.584412,-100.413536,Doctor's Office,Private,"20.584412,-100.413536","Prolongación Pino Suárez, Villa Jardín, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Corregidora, Querétaro, 76178, México",76178,Queretaro,2201400011570,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Cederborg Medicina Estetica,20.582128167868,-100.41573918263500,Doctor's Office,Private,"20.582128167868,-100.41573918263501","Avenida Hilario Frías y Soto, Ensueño, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011848,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Clinica UVM,20.585985879162,-100.412844138262,Doctor's Office,Private,"20.585985879162,-100.412844138262","BanBajio, Avenida de Las Torres, Galindas Residencial, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011570,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Hospital Ángeles,20.5808816462833,-100.416425516664,Hospital,Private,"20.5808816462833,-100.416425516664","37, Avenida Hilario Frías y Soto, Ensueño, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011848,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Centro Reumatologico de Queretaro AC,20.580801,-100.417449,Medical Center,Private,"20.580801,-100.417449","104, Calle De Asunción, Residencial Los Ángeles, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011833,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Consultorios San Francisco,20.5803035734227,-100.416443295563,Doctor's Office,Private,"20.5803035734227,-100.416443295563","25, Calle Esteban García Rebollo, Ensueño, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011848,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Fisiolife Querétaro,20.5811189554797,-100.417090493668,Doctor's Office,Private,"20.5811189554797,-100.417090493668","104, Calle De Asunción, Residencial Los Ángeles, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011848,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Pediatria Neonatologia,20.580196,-100.416827,Doctor's Office,Private,"20.580196,-100.416827","35, Calle Esteban García Rebollo, Ensueño, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011848,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Consultorio Médico 58,20.580566280308900,-100.41724712988200,Doctor's Office,Private,"20.580566280308897,-100.41724712988199","105, Calle De Asunción, Residencial Los Ángeles, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011833,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Urgencias Del Hospital Angeles De Qro,20.581108253599600,-100.416399212957,Emergency Room,Private,"20.581108253599602,-100.416399212957","37, Avenida Hilario Frías y Soto, Ensueño, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011848,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Laboratorio Del Hospital Angeles De Queretaro,20.581009963649900,-100.416492480682,Medical Lab,Private,"20.581009963649898,-100.416492480682","37, Avenida Hilario Frías y Soto, Ensueño, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011848,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Clínica de Rehabilitación y Fisioterapia,20.580514,-100.416436,Rehab Center,Private,"20.580514,-100.416436","23, Calle Esteban García Rebollo, Ensueño, Santa María Magdalena, Delegación Felipe Carrillo Puerto, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76178, México",76178,Queretaro,2201400011848,"Ensueño, Villa las Arboledas, El Rosario, La Sandia, Residencial los Ángeles"
Centro Dermatológico San Francisco,20.599075657031,-100.37082977945300,Medical Center,Private,"20.599075657031,-100.37082977945299","Calle Juan Caballero y Ocio, Calesa 2da Sección, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76024, México",76024,Queretaro,2201400010341,"Conjunto Seminario, Karina, La Peñita, Calesa 2a Sección, El Cortijo, El Oasis, Villa Los Arcos, El Cortijo II, Del Río"
Clínica San Francisco,20.599116418626400,-100.370707441324,Hospital,Private,"20.599116418626398,-100.370707441324","Calle Juan Caballero y Ocio, Calesa 2da Sección, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76024, México",76024,Queretaro,2201400010341,"Conjunto Seminario, Karina, La Peñita, Calesa 2a Sección, El Cortijo, El Oasis, Villa Los Arcos, El Cortijo II, Del Río"
Dental Expert,20.5977474416506,-100.371378578502,Dentist's Office,Private,"20.5977474416506,-100.371378578502","Super Q, Calzada de los Arcos, Calesa 2da Sección, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76024, México",76024,Queretaro,2201400010341,"Conjunto Seminario, Karina, La Peñita, Calesa 2a Sección, El Cortijo, El Oasis, Villa Los Arcos, El Cortijo II, Del Río"
"OrtoClínicas, Clínica Dental Familiar",20.5992706601277,-100.369311283242,Dentist's Office,Private,"20.5992706601277,-100.369311283242","Acueducto, Calzada de los Arcos, Villas los Arcos, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76024, México",76024,Queretaro,220140001084A,"Conjunto Seminario, Karina, La Peñita, Calesa 2a Sección, El Cortijo, El Oasis, Villa Los Arcos, El Cortijo II, Del Río"
IMSS Clínica No. 2 Hércules,20.5997219260803,-100.358598446303,Hospital,Public,"20.5997219260803,-100.358598446303","Avenida Hércules Oriente, Villas los Arcos, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76024, México",76024,Queretaro,220140001084A,"Conjunto Seminario, Karina, La Peñita, Calesa 2a Sección, El Cortijo, El Oasis, Villa Los Arcos, El Cortijo II, Del Río"
Dicorsa Diagnóstico Computarizado en Odontologia,20.593774805052,-100.37617424478,Dentist's Office,Private,"20.593774805052,-100.37617424478","Calzada de los Arcos, San Francisquito, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76058, México",76058,Queretaro,2201400010464,San Francisquito
LABORATORIO CHOPO,20.5870105249866,-100.384699236432,Medical Lab,Private,"20.5870105249866,-100.384699236432","31, Calle San Luis Potosí, Hidalgo, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76058, México",76058,Queretaro,2201400012348,San Francisquito
ORTODONCIA PROFESIONAL,20.5925607143636,-100.378590593979,Dentist's Office,Private,"20.5925607143636,-100.378590593979","7, Calzada de los Arcos, La Pastora, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76025, México",76025,Queretaro,2201400010430,La Pastora
Laboratorios Chopo,20.590315220909400,-100.375151377297,Medical Lab,Private,"20.590315220909396,-100.375151377297","Avenida Ejército Republicano, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010430,Carretas
Implantoperio,20.5923250257498,-100.37313222885100,Dentist's Office,Private,"20.5923250257498,-100.37313222885099","Calle De los Monjes, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010464,Carretas
CEO Centro De Estudios Odontológicos,20.590293,-100.375568,Dentist's Office,Private,"20.590293,-100.375568","Avenida Ejército Republicano, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010430,Carretas
Wuotto Grupo Dental,20.591178812750200,-100.372826261724,Dentist's Office,Private,"20.591178812750197,-100.372826261724","Plateros, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010479,Carretas
Sanatorio guadalupe,20.592062065565400,-100.369067583407,Hospital,Private,"20.592062065565397,-100.369067583407","Clínica Médica Carretas, 706, Avenida de la Acordada, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010479,Carretas
Clinica Medica Carretas,20.5920124053955,-100.368927001953,Medical Lab,Private,"20.5920124053955,-100.368927001953","409, Avenida Puente de Alvarado, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010479,Carretas
Dental Lozano (dentista),20.5920772747155,-100.369085613451,Dentist's Office,Private,"20.5920772747155,-100.369085613451","Clínica Médica Carretas, 706, Avenida de la Acordada, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010479,Carretas
Ortodoncista Arturo Corona Cortes,20.5908001224039,-100.37052314023800,Dentist's Office,Private,"20.5908001224039,-100.37052314023799","Avenida De Las Vizcaínas, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010479,Carretas
Podologo,20.587774,-100.37264,Doctor's Office,Private,"20.587774,-100.37264","Estacionamiento Plaza de las Américas, Avenida Santo Domingo, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010445,Carretas
Grupo Oftalmológico Visión,20.5883628625974,-100.368291013789,Doctor's Office,Private,"20.5883628625974,-100.368291013789","Avenida Constituyentes, Carretas, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76050, México",76050,Queretaro,2201400010479,Carretas
Laboratorio Medico Polanco B. Quintana,20.5935288895164,-100.368701522468,Medical Center,Private,"20.5935288895164,-100.368701522468","145, Boulevard Bernardo Quintana, Loma Dorada, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76060, México",76060,Queretaro,2201400010464,"Cumbres del Mirador, Loma Dorada, Milenio 3a. Sección"
Bio Vital,20.5947770394149,-100.364754338844,Medical Center,Private,"20.5947770394149,-100.364754338844","Calle Loma de San Juan, Loma Dorada, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76060, México",76060,Queretaro,220140001084A,"Cumbres del Mirador, Loma Dorada, Milenio 3a. Sección"
Clinica Ginecologica y Obatetricia,20.5784977499064,-100.36013240633,Hospital,Private,"20.5784977499064,-100.36013240633","Terminal Autobuses Queretaro, Calle Terminal de Autobuses, Claustro del Marques, Delegación Josefa Vergara y Hernández, Municipio de Querétaro, Querétaro, 76060, México",76060,Queretaro,2201400012386,"Cumbres del Mirador, Loma Dorada, Milenio 3a. Sección"
Médica Inspira,20.5946587603013,-100.347827037775,Doctor's Office,Private,"20.5946587603013,-100.347827037775","Italian Coffee Company, Camino Real de Carretas, Milenio 3, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76060, México",76060,Queretaro,2201400013469,"Cumbres del Mirador, Loma Dorada, Milenio 3a. Sección"
Médica Momentum,20.5947828352702,-100.347708976093,Doctor's Office,Private,"20.5947828352702,-100.347708976093","Calle Senda de la Inspiración, Milenio 3, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76060, México",76060,Queretaro,2201400013469,"Cumbres del Mirador, Loma Dorada, Milenio 3a. Sección"
Laboratorio Corregidora,20.5959333558918,-100.35366663762300,Medical Lab,Private,"20.5959333558918,-100.35366663762301","Centro SOI, 302 local 12, Camino Real de Carretas, Milenio 3, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76060, México",76060,Queretaro,2201400013469,"Cumbres del Mirador, Loma Dorada, Milenio 3a. Sección"
Dental de Especialidades & Medical Offices,20.595634783804400,-100.34600304698600,Dentist's Office,Private,"20.595634783804396,-100.34600304698601","Senda de la Inspiración, Milenio 3, Hércules, Delegación Cayetano Rubio, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76060, México",76060,Queretaro,2201400013469,"Cumbres del Mirador, Loma Dorada, Milenio 3a. Sección"
Clinica Quiropractica Montaño,20.5866979989822,-100.376615572806,Medical Center,Private,"20.5866979989822,-100.376615572806","92, Calle Nevado de Colima, Panamericano, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 46040, México",76040,Queretaro,2201400011439,"Andalucía, Alameda, Aragón, Las Palmas, Mercurio, Observatorio, Panamericano, Valle Alameda, Villas del Sur"
Clinica Queretaro,20.587774398344600,-100.37647575715200,Doctor's Office,Private,"20.587774398344603,-100.37647575715201","336, Avenida 20 de Noviembre, Observatorio, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76040, México",76040,Queretaro,2201400010445,"Andalucía, Alameda, Aragón, Las Palmas, Mercurio, Observatorio, Panamericano, Valle Alameda, Villas del Sur"
Dentalia,20.584932,-100.381166,Dentist's Office,Private,"20.584932,-100.381166","Aurrera, Calle Pedro Escobedo, Mercurio, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76040, México",76040,Queretaro,2201400012348,"Andalucía, Alameda, Aragón, Las Palmas, Mercurio, Observatorio, Panamericano, Valle Alameda, Villas del Sur"
Dental Médica,20.5859107494037,-100.38499539523600,Dentist's Office,Private,"20.5859107494037,-100.38499539523599","Plaza Alameda, Avenida Luis Pasteur, Alameda, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76040, México",76040,Queretaro,2201400012348,"Andalucía, Alameda, Aragón, Las Palmas, Mercurio, Observatorio, Panamericano, Valle Alameda, Villas del Sur"
Clinica Dental Universitaria,20.5846565986685,-100.388110605879,Dentist's Office,Private,"20.5846565986685,-100.388110605879","21, Avenida Corregidora, Villas del Sur, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76040, México",76040,Queretaro,2201400012348,"Andalucía, Alameda, Aragón, Las Palmas, Mercurio, Observatorio, Panamericano, Valle Alameda, Villas del Sur"
Fastdent,20.582606,-100.384444,Dentist's Office,Private,"20.582606,-100.384444","Calle Monte Albán, Valle Alameda, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76040, México",76040,Queretaro,2201400010515,"Andalucía, Alameda, Aragón, Las Palmas, Mercurio, Observatorio, Panamericano, Valle Alameda, Villas del Sur"
Laboratorios Chopo,20.5867958510364,-100.383394930609,Medical Lab,Private,"20.5867958510364,-100.383394930609","15, Avenida Constituyentes, Hidalgo, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76057, México",76057,Queretaro,2201400012329,Hidalgo
Salupsic,20.583508668747,-100.387896705942,Medical Center,Private,"20.583508668747,-100.387896705942","38, Avenida Corregidora, Estrella, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76057, México",76057,Queretaro,2201400010498,Hidalgo
Dentimex,20.585009,-100.38073,Dentist's Office,Private,"20.585009,-100.38073","Puerta La Victoria, Calle Sierra de Zimapan, Villas del Sol, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76046, México",76046,Queretaro,2201400012348,"San Joaquín, Panorámico, El Laurel, Villas del Sol"
Especialidades dentales,20.5823950381582,-100.380174708705,Dentist's Office,Private,"20.5823950381582,-100.380174708705","Calle Sierra de Tilaco, Villas del Sol, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76046, México",76046,Queretaro,2201400012348,"San Joaquín, Panorámico, El Laurel, Villas del Sol"
Centro de Salud y Deporte Gómez Sainz,20.58182,-100.380385,Rehab Center,Private,"20.58182,-100.380385","Calle Sierra de Ahuacatlan, Villas del Sol, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76046, México",76046,Queretaro,2201400012348,"San Joaquín, Panorámico, El Laurel, Villas del Sol"
Centro quiropractico integral,20.607379384140800,-100.38267551057500,Doctor's Office,Private,"20.607379384140803,-100.38267551057501","1, Calle Oyamel, Álamos 2da Sección, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400010286,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Laboratorio Medico Polanco,20.614567028030900,-100.390896258585,Medical Center,Private,"20.614567028030898,-100.390896258585","Plaza del Parque, Calle Epigmenio González, Rinconada Álamos, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400011227,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Centros Euroestetica Querétaro,20.6091265990903,-100.384161472321,Medical Center,Private,"20.6091265990903,-100.384161472321","Circuito Jardín, Álamos 3ra Sección, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400010286,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Veva Palacios. Nutrición y coaching.,20.6108881480315,-100.387059914623,Doctor's Office,Private,"20.6108881480315,-100.387059914623","Club Godinez, Avenida Corregidora, Álamos 3ra Sección, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400012244,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Podologos Del Parque,20.6099861358182,-100.386733976672,Doctor's Office,Private,"20.6099861358182,-100.386733976672","Bradia, 352, Avenida Corregidora, Álamos 3ra Sección, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400012244,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Ópticas Devlyn,20.6145155344719,-100.39141789237700,Doctor's Office,Private,"20.6145155344719,-100.39141789237699","Plaza del Parque, Calle Epigmenio González, Rinconada Álamos, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400011227,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Medicina de Rehabilitación,20.609936453482400,-100.38298150811,Doctor's Office,Private,"20.609936453482398,-100.38298150811","Circuito Jardín, Álamos 3ra Sección, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400010286,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Ópticas Devlyn,20.6151913498132,-100.392032194398,Doctor's Office,Private,"20.6151913498132,-100.392032194398","Plaza del Parque, Calle Epigmenio González, Rinconada Álamos, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400011227,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
Clinica Dental Orthodenth,20.613718,-100.386286,Dentist's Office,Private,"20.613718,-100.386286","Plaza Cobé, 11, Circuito Jardín, Álamos 3ra Sección, Delegación Centro Histórico, Santiago de Querétaro, Municipio de Querétaro, Querétaro, 76160, México",76160,Queretaro,2201400012244,"Rinconada de los Alamos, Montecarlo, Privada Bugambilias, Residencial Parque del Álamo, Las Hadas, Romy, El Tepetate, Las Brujas, Álamos 1a Sección, El Cerrito, Álamos 3a Sección, Álamos 2a Sección"
