AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
2200142390014,48,*,*,44,35,40,30,*,0,20,48,17,14,15,14,14,15,15,15,15,15,15,48
2200142390015,52,*,7,45,30,34,24,4,0,24,52,18,14,13,13,15,16,16,16,15,16,16,52
2200142390016,105,11,15,73,57,67,44,16,*,39,105,29,18,23,22,22,28,28,28,28,28,28,105
2200142390017,40,0,4,33,25,27,20,0,0,24,40,15,10,11,11,12,12,12,12,12,12,12,40
2200142390018,45,7,3,30,19,32,16,5,0,21,45,17,14,13,14,14,14,14,14,14,14,14,45
2200142390019,198,14,19,140,106,134,110,21,*,79,198,71,45,59,49,49,59,64,64,64,64,64,198
2200142390022,42,4,6,34,20,31,23,*,0,22,42,20,12,14,12,14,15,15,15,15,15,15,42
2200142390023,100,10,10,76,52,83,69,4,*,49,100,40,22,34,25,30,34,35,36,36,36,36,100
2200142390025,30,5,0,18,13,21,17,4,0,16,27,14,6,6,6,7,9,9,9,8,9,8,27
2200142390026,40,3,*,29,25,27,25,*,0,16,40,21,11,14,10,15,13,16,16,16,16,16,40
2200142390027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142403000,1308,181,105,891,651,902,668,90,19,514,1248,583,340,408,369,377,383,433,435,430,439,434,1248
2200142403001,53,12,5,34,27,39,37,*,0,18,53,14,14,13,14,12,14,14,14,14,14,14,53
2200142403002,43,4,5,30,19,22,15,5,0,16,43,16,9,12,12,13,12,13,13,13,13,13,43
2200142403003,62,5,3,40,22,46,37,5,*,31,59,27,18,19,19,19,20,20,20,20,20,20,59
2200142403004,15,*,0,7,8,12,12,0,0,8,12,6,4,5,5,5,4,5,5,5,5,5,12
2200142403005,44,10,3,26,19,32,23,*,*,13,44,14,10,11,10,11,11,11,11,10,11,11,44
2200142403006,35,3,*,29,20,21,18,*,0,20,35,13,9,10,9,10,12,12,12,12,12,12,35
2200142403007,28,3,3,22,16,22,9,5,0,16,28,13,7,10,8,10,10,10,10,9,10,10,28
2200142403008,84,7,9,61,45,62,47,*,*,29,84,29,15,20,18,19,20,21,22,22,22,22,84
2200142403009,40,4,3,26,23,27,23,*,0,19,40,13,10,12,10,12,10,12,12,12,12,11,40
2200142403011,124,22,15,88,53,103,60,33,4,48,121,43,29,28,30,29,34,34,34,33,34,34,121
2200142403012,111,17,7,72,51,82,59,8,0,54,105,39,24,30,25,30,33,33,33,33,33,33,105
2200142403013,55,5,8,35,23,41,35,*,0,26,49,20,12,13,12,13,14,15,15,15,15,15,49
2200142403014,66,8,4,44,35,45,38,4,*,20,63,28,17,22,18,16,18,22,22,19,22,22,63
2200142403015,11,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*
2200142403016,26,4,*,18,18,16,12,0,0,8,23,16,7,10,9,7,9,10,10,10,10,10,23
2200142403017,37,6,3,28,18,22,15,3,0,18,37,17,11,13,11,12,12,12,13,13,13,13,37
2200142403018,17,*,*,12,12,13,8,*,*,*,17,16,3,8,4,7,*,8,8,8,8,8,17
2200142403019,26,3,4,19,15,21,16,*,0,8,26,16,9,11,10,10,9,11,11,11,11,11,26
2200142403020,6,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*
2200142403021,24,4,*,17,13,21,17,0,0,10,24,16,7,9,8,9,7,10,10,9,10,9,24
2200142403022,26,*,3,22,19,20,15,*,*,9,26,16,9,14,10,9,10,13,13,14,14,14,26
2200142403023,3,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200142403024,30,8,*,22,19,27,24,0,0,10,30,16,12,13,12,10,11,12,13,13,13,13,30
2200142403025,126,19,10,94,65,88,62,5,*,50,123,74,45,49,49,48,44,52,51,53,54,51,123
2200142403026,7,*,0,3,5,4,4,0,0,*,7,3,*,3,*,3,*,3,3,3,3,3,7
2200142403027,28,3,4,22,15,16,12,*,*,11,28,16,7,11,9,8,7,12,12,12,12,12,28
2200142403028,141,17,7,87,61,72,47,7,*,48,120,66,32,43,37,42,43,47,47,46,47,47,120
2200142403029,3,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200142403030,10,*,*,4,5,8,8,0,0,4,10,4,3,3,3,3,3,3,3,3,3,3,10
2200142403031,5,*,0,3,4,4,4,0,0,*,5,4,3,3,3,*,*,3,3,3,3,3,5
2200142403032,8,0,0,5,5,3,*,*,0,*,5,4,*,*,*,*,*,3,3,3,3,3,5
2200142403033,5,0,*,5,3,3,3,0,0,0,5,6,3,3,3,*,*,3,3,3,3,3,5
2200142403034,6,0,0,3,*,*,*,0,0,0,3,4,3,3,3,*,*,3,3,3,3,3,3
2200142403035,3,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*
2200142418000,3145,655,312,1961,1480,2192,1685,294,74,1296,3113,1092,709,831,762,809,840,893,895,898,899,882,3113
2200142418001,151,37,17,92,67,111,85,22,7,58,151,49,29,36,32,34,37,39,40,40,40,40,151
2200142418002,104,23,8,62,50,92,52,22,6,47,104,29,22,26,24,26,27,28,28,28,28,27,104
2200142418003,153,38,9,96,68,112,84,17,5,64,150,55,38,42,40,44,43,45,45,45,45,45,150
2200142418004,185,47,13,115,90,131,115,13,*,79,182,64,40,50,41,49,47,51,51,51,51,51,182
2200142418005,77,20,7,48,34,49,42,5,0,31,77,26,20,22,21,23,23,24,24,24,24,24,77
2200142418007,57,20,3,33,25,37,24,3,4,22,57,21,13,15,14,16,16,16,16,16,16,16,57
2200142418008,139,33,12,78,66,75,66,7,*,53,136,48,29,33,31,37,31,37,37,37,37,37,136
2200142418009,194,31,25,130,96,142,104,23,5,90,194,75,45,53,46,51,51,56,56,56,56,55,194
2200142418010,139,31,8,89,63,102,79,15,*,63,139,54,39,45,40,43,45,46,47,46,47,44,139
2200142418011,178,49,13,103,86,107,92,4,5,80,178,56,41,46,41,48,48,50,50,50,50,49,178
2200142418012,162,25,22,117,90,120,103,17,0,59,162,54,37,44,38,41,41,48,47,48,48,48,162
2200142418013,136,20,18,99,65,94,69,7,6,63,136,51,32,36,35,33,38,41,41,41,41,41,136
2200142418014,56,9,5,42,33,49,32,7,*,30,56,20,15,17,16,16,16,18,18,18,18,18,56
2200142418015,165,37,18,83,65,98,70,8,10,66,163,52,33,37,37,40,40,44,45,45,45,43,163
2200142418018,176,32,23,121,84,124,106,14,*,61,165,60,38,47,45,43,49,50,50,50,50,47,165
2200142418019,98,27,8,40,40,60,47,10,0,37,98,34,14,21,21,20,24,24,24,24,24,23,98
2200142418020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142418021,66,7,13,45,31,47,17,13,0,21,56,25,13,17,12,11,16,18,18,18,18,18,56
2200142418022,34,10,4,20,12,33,24,9,0,12,34,12,7,7,7,7,7,7,7,7,7,7,34
2200142418023,1,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200142418024,62,7,7,42,32,44,32,5,*,29,62,24,15,18,17,18,17,18,18,18,18,18,62
2200142418025,61,10,7,40,25,39,33,6,0,29,61,17,13,14,15,13,14,15,15,15,15,15,61
2200142418026,58,14,7,26,24,41,33,8,0,19,58,25,12,15,13,12,14,16,16,16,16,16,58
2200142418027,70,11,4,44,36,40,30,4,5,25,70,26,18,18,19,19,18,19,20,22,22,22,70
2200142418028,94,21,5,55,50,72,52,13,0,38,94,29,21,24,22,24,25,25,25,25,25,25,94
2200142418030,77,14,6,50,43,59,52,6,0,35,77,26,17,19,18,22,23,23,23,23,23,22,77
2200142418031,100,15,9,65,50,59,46,8,0,48,100,29,23,27,26,27,26,27,27,27,27,27,100
2200142418032,69,18,6,39,25,49,29,13,4,25,69,24,15,19,15,17,20,20,19,20,20,19,69
2200142418033,75,13,8,55,36,35,28,5,0,29,75,28,18,23,19,20,24,24,24,24,24,24,75
2200142418034,74,11,8,46,38,64,51,3,7,34,74,28,18,22,19,18,22,24,24,24,24,23,74
2200142418035,86,16,13,52,35,74,62,*,*,31,86,27,22,24,24,23,24,25,25,25,25,24,86
2200142418036,7,*,0,5,4,6,4,0,0,0,7,4,3,3,3,3,3,3,3,3,3,*,7
2200142418037,41,7,6,28,16,27,22,5,0,18,41,19,8,10,10,10,11,11,11,11,11,11,41
2200142422000,1943,427,170,1203,922,1429,1003,184,68,875,1940,692,437,535,468,502,527,551,556,556,560,559,1940
2200142422001,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2200142422002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422004,15,5,0,3,6,4,*,3,0,6,12,3,*,*,*,*,*,*,3,3,3,3,12
2200142422005,14,*,*,*,8,5,5,0,0,8,14,3,*,3,*,*,*,*,3,*,*,3,14
2200142422006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422010,23,5,*,16,10,20,9,4,0,12,23,8,7,7,7,7,7,7,7,7,7,7,23
2200142422011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422015,124,29,14,78,52,70,35,8,3,58,124,39,27,32,27,32,32,33,33,33,33,33,124
2200142422016,81,16,10,53,41,49,32,*,0,38,81,25,17,23,21,21,23,23,23,23,23,23,81
2200142422017,15,0,*,11,9,13,8,*,*,8,15,5,3,4,4,4,5,5,5,5,5,5,15
2200142422018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422021,122,9,15,94,62,95,62,12,*,51,122,37,31,32,31,32,32,32,32,33,33,33,122
2200142422022,64,13,8,43,31,52,42,7,0,27,64,22,15,15,15,15,17,17,17,16,17,17,64
2200142422023,88,23,3,56,48,66,56,9,*,38,88,29,20,25,23,23,24,25,25,25,25,25,88
2200142422024,44,7,4,31,22,27,20,6,0,20,44,25,12,15,14,14,15,15,15,15,15,15,44
2200142422025,9,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200142422026,123,34,7,68,54,94,58,25,3,55,123,41,27,33,28,31,34,34,34,34,34,33,123
2200142422027,131,35,11,76,65,97,71,12,5,60,131,42,31,34,31,32,34,35,35,35,35,35,131
2200142422028,57,10,7,35,27,46,30,8,0,31,57,23,14,15,13,14,16,16,16,16,16,16,57
2200142422029,288,74,20,173,131,217,160,33,10,138,288,110,63,82,68,79,79,84,82,85,85,84,288
2200142422030,74,17,10,47,30,55,45,0,4,29,74,23,16,19,18,19,19,20,20,20,20,20,74
2200142422031,527,112,44,343,254,425,307,42,23,228,527,189,124,152,134,143,151,159,158,157,159,159,527
2200142422032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142422034,144,33,11,74,68,94,62,11,16,62,144,62,28,40,31,33,36,42,46,47,47,47,144
2200142422035,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2200142437000,1173,364,25,152,497,748,412,5,329,448,1173,252,29,184,49,111,159,208,233,238,239,231,1173
2200142437001,172,52,*,14,70,90,44,3,40,66,172,32,*,27,7,20,24,25,32,32,32,29,172
2200142437002,18,5,0,3,8,10,*,0,8,7,18,6,0,*,0,3,3,4,4,5,5,5,18
2200142437003,86,32,*,14,37,51,36,0,15,31,86,13,4,11,5,8,10,11,12,12,12,10,86
2200142437004,84,30,*,11,38,53,25,0,31,30,84,23,0,14,*,8,12,15,20,22,22,22,84
2200142437005,31,8,*,*,9,26,5,0,21,12,31,7,*,5,0,5,3,7,7,7,7,7,31
2200142437006,61,22,*,5,17,44,12,0,30,21,61,12,*,8,3,3,8,9,11,10,10,10,61
2200142437007,51,10,3,6,22,30,19,*,10,17,51,18,3,12,5,7,7,14,16,16,16,15,51
2200142437008,73,24,*,9,31,54,34,0,20,33,73,17,3,11,3,5,9,13,14,15,15,15,73
2200142437009,50,12,*,13,30,31,25,0,6,18,50,12,*,7,4,6,7,11,11,11,11,11,50
2200142437011,95,36,3,11,34,67,40,0,27,28,95,18,*,14,*,7,15,15,17,18,18,18,95
2200142437012,94,27,*,18,48,73,36,0,37,40,94,19,*,15,3,6,12,17,18,18,18,18,94
2200142437014,65,28,*,6,21,41,10,0,30,20,65,15,*,8,*,7,11,14,13,13,14,14,65
2200142437015,71,16,*,11,32,43,26,0,18,30,71,16,3,13,4,5,7,14,16,16,16,16,71
2200142437016,117,35,3,17,53,82,54,*,27,56,117,22,3,18,5,13,14,21,22,22,22,21,117
2200142437017,79,22,*,8,33,36,30,0,6,29,79,17,0,14,3,4,14,14,16,16,16,15,79
2200142437018,26,5,*,5,14,17,14,0,3,10,26,5,*,5,3,4,3,4,4,5,5,5,26
2200142441000,5428,1489,187,1009,2594,3524,2483,126,858,2237,5404,1376,207,959,342,620,932,1131,1257,1282,1290,1201,5404
2200142441001,144,33,4,38,70,89,65,4,13,67,138,43,*,33,6,18,25,37,38,38,38,35,138
2200142441002,302,96,7,54,139,219,143,11,62,123,302,74,13,57,23,31,53,61,69,70,70,63,302
2200142441003,134,35,3,22,65,95,58,0,37,54,134,41,8,27,11,15,29,31,39,39,39,36,134
2200142441004,173,43,4,40,85,107,79,5,19,81,173,50,8,33,13,29,33,41,46,46,46,42,173
2200142441005,177,49,5,40,81,129,67,0,50,85,174,40,5,25,10,21,28,33,37,36,37,31,174
2200142441006,80,23,4,19,47,43,33,0,10,33,80,17,5,11,6,8,8,14,15,16,17,12,80
2200142441007,162,47,5,21,68,122,73,6,41,59,162,44,3,31,10,16,34,36,40,41,42,39,162
2200142441008,197,64,9,20,81,118,59,6,48,83,197,46,4,30,7,23,32,37,45,45,45,40,197
2200142441009,308,76,8,56,143,169,153,0,13,138,302,75,11,59,24,45,52,60,69,70,71,68,302
2200142441010,299,67,9,52,151,195,170,15,12,138,299,79,10,58,18,37,53,63,71,73,75,75,299
2200142441011,108,26,8,23,47,75,60,7,8,41,108,26,4,15,8,10,18,21,26,26,26,25,108
2200142441012,110,26,5,28,54,68,46,5,20,46,110,31,8,17,8,13,18,26,29,29,29,27,110
2200142441013,165,32,7,39,93,124,91,3,29,75,165,51,9,37,11,21,33,41,48,49,49,47,165
2200142441014,132,44,*,19,59,82,50,*,29,65,132,36,3,25,6,16,29,30,29,33,33,33,132
2200142441015,146,35,6,38,79,109,81,6,20,60,146,35,7,29,10,19,26,32,33,34,34,33,146
2200142441016,270,92,4,39,120,173,118,15,40,115,270,62,5,47,13,31,42,52,60,61,61,56,270
2200142441017,129,48,3,16,57,85,68,0,17,44,129,32,0,15,4,8,17,24,26,25,25,20,129
2200142441018,276,82,9,45,134,163,126,0,28,100,276,58,7,42,19,29,40,49,55,57,57,48,276
2200142441019,185,57,10,32,79,114,92,*,18,75,185,42,7,29,10,17,27,35,39,40,40,38,185
2200142441020,187,45,7,31,98,136,101,*,33,73,187,49,10,39,13,20,32,44,48,48,48,48,187
2200142441021,123,36,7,19,51,75,43,3,32,49,123,35,7,22,8,13,25,28,29,31,31,29,123
2200142441022,183,43,8,40,82,129,98,*,29,73,183,44,6,26,11,20,27,36,42,43,43,42,183
2200142441023,60,24,*,6,22,32,19,0,13,22,60,16,*,10,3,6,12,12,14,15,15,14,60
2200142441024,282,85,11,41,135,177,111,4,60,107,279,63,7,45,14,25,46,50,59,60,60,56,279
2200142441025,267,80,11,36,124,161,144,*,16,95,267,67,13,45,14,34,46,59,60,64,64,53,267
2200142441027,246,52,12,54,134,169,111,*,57,102,246,56,14,41,18,29,42,45,51,51,52,50,246
2200142441028,201,47,7,42,111,126,73,5,45,79,201,73,12,45,15,22,40,52,54,56,57,56,201
2200142441029,155,45,5,47,70,109,67,8,29,69,152,39,12,28,18,19,31,36,37,37,37,37,152
2200142441030,227,57,6,52,115,131,84,15,30,86,224,52,6,38,11,25,34,46,49,49,49,48,224
2200142456000,2749,947,84,496,1144,1988,1180,69,734,1102,2740,644,116,467,182,320,444,530,573,577,580,559,2740
2200142456001,95,42,3,21,33,71,43,*,27,37,95,24,6,16,7,15,17,18,19,19,19,19,95
2200142456002,188,54,11,38,88,129,75,*,52,73,188,43,5,33,13,23,25,35,39,39,40,39,188
2200142456003,107,36,3,25,41,80,42,*,36,47,107,22,*,19,5,8,14,21,21,22,22,22,107
2200142456004,136,44,7,27,59,103,68,7,28,56,136,29,8,24,10,21,25,27,28,28,28,27,136
2200142456005,43,13,*,10,18,34,25,3,5,15,43,9,5,8,7,4,8,9,9,9,9,9,43
2200142456006,97,31,*,20,43,76,51,7,19,42,97,18,8,14,10,10,13,17,17,17,17,17,97
2200142456007,62,21,*,12,27,27,15,4,8,25,62,12,4,10,6,8,10,11,12,12,12,12,62
2200142456008,170,59,5,22,69,116,64,5,47,64,170,43,6,30,9,21,32,35,37,36,37,38,170
2200142456009,57,21,*,7,21,32,19,0,13,27,54,18,*,10,4,9,9,12,13,13,13,13,54
2200142456010,164,54,4,26,53,122,65,8,49,59,161,32,10,23,12,22,24,28,29,29,29,29,161
2200142456011,135,43,3,28,53,106,82,0,25,50,135,31,6,23,7,15,21,25,27,28,28,27,135
2200142456012,150,48,5,38,66,127,94,3,31,57,150,36,9,26,10,17,30,30,33,32,32,29,150
2200142456013,36,13,*,3,19,26,11,0,15,12,36,10,*,7,*,3,8,9,9,9,9,9,36
2200142456014,65,28,*,13,23,47,20,0,27,24,65,12,*,10,3,6,11,11,12,12,12,12,65
2200142456015,48,11,5,12,24,34,18,0,12,14,48,12,*,9,5,6,6,9,10,10,10,9,48
2200142456016,101,34,*,11,40,83,37,0,46,39,101,25,4,19,6,7,12,18,22,22,22,21,101
2200142456017,154,56,3,23,65,107,51,3,52,58,154,38,4,24,6,15,26,28,33,35,35,31,154
2200142456018,245,94,4,45,102,175,99,9,67,116,245,58,9,45,18,32,39,52,54,55,55,54,245
2200142456019,136,49,3,21,58,90,54,7,27,58,133,46,4,30,9,16,21,29,35,35,35,35,133
2200142456020,35,9,0,6,20,27,12,4,11,14,35,9,*,7,3,7,7,8,8,8,8,7,35
2200142456022,85,24,*,14,42,64,48,0,16,36,85,22,5,12,5,10,15,19,21,20,21,18,85
2200142456023,108,40,3,15,44,70,49,0,21,46,108,22,*,17,3,9,15,20,21,21,21,21,108
2200142456024,175,63,7,29,74,123,64,6,55,68,175,36,5,24,9,14,27,29,32,34,34,33,175
2200142456025,157,60,4,30,62,119,74,0,45,65,157,37,9,27,13,22,29,30,32,32,32,28,157
2200142564000,5,*,0,*,*,5,4,0,0,3,5,2,*,*,*,*,*,*,*,*,*,*,5
2200142564001,5,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200142564002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142600000,36,11,*,4,15,18,18,0,0,18,36,7,*,7,*,4,5,6,7,6,7,7,36
2200142600001,36,11,*,4,15,18,18,0,0,18,36,7,*,7,*,4,5,6,7,6,7,7,36
2200142668000,22,7,*,4,8,15,5,0,10,9,19,10,0,4,0,*,5,5,5,5,5,5,19
2200142668001,16,5,*,4,8,12,5,0,7,8,16,5,0,3,0,0,4,4,4,4,4,4,16
2200142668002,6,*,*,*,*,*,*,*,*,*,*,4,*,*,*,*,*,*,*,*,*,*,*
2200142668003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2200142672000,2027,697,48,238,783,1318,845,8,433,793,2012,466,39,282,72,176,261,355,384,365,393,379,2012
2200142672001,225,82,4,19,91,145,89,0,52,87,225,50,4,22,6,19,29,39,42,38,42,41,225
2200142672002,97,28,0,14,43,66,37,0,29,47,97,20,0,10,*,11,10,14,16,15,17,16,97
2200142672003,280,77,4,35,115,176,144,*,31,110,277,57,7,43,14,22,42,52,52,51,53,51,277
2200142672004,55,15,3,8,19,39,28,0,14,20,55,16,*,9,3,5,7,10,13,12,13,11,55
2200142672005,170,58,3,17,65,117,58,0,59,65,170,36,*,26,3,10,18,29,33,33,34,32,170
2200142672006,83,29,*,5,28,63,42,0,21,34,80,19,0,10,*,3,9,15,17,17,17,17,80
2200142672007,46,11,*,3,19,35,27,0,8,20,40,17,*,6,3,4,9,10,11,11,12,12,40
2200142672008,9,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*,*,*,*,*,*,*
2200142672009,80,18,*,23,41,43,34,5,4,27,80,18,3,13,5,9,10,14,17,17,17,15,80
2200142672010,167,80,6,27,46,114,54,0,28,48,167,27,8,22,12,16,18,22,23,24,24,23,167
2200142672011,133,49,5,10,42,93,54,0,42,50,133,27,*,21,3,15,19,24,25,27,27,27,133
2200142672012,77,25,3,6,31,52,35,0,17,32,77,20,*,11,*,8,11,14,15,15,15,15,77
2200142672013,43,13,*,10,15,31,22,0,9,16,43,10,*,7,*,3,4,8,9,9,9,9,43
2200142672014,37,11,*,*,18,28,20,0,8,19,37,12,*,7,*,5,6,9,10,8,10,9,37
2200142672015,24,11,*,3,10,21,21,0,0,10,24,7,*,4,*,*,4,5,5,3,5,5,24
2200142672016,48,22,0,4,19,40,24,0,16,22,48,11,0,5,0,4,5,8,9,8,9,10,48
2200142672017,41,13,*,7,21,18,16,0,*,15,41,7,*,5,0,3,5,6,6,6,6,6,41
2200142672018,43,11,*,10,20,19,15,*,*,17,43,14,*,6,5,5,8,10,10,10,10,10,43
2200142672019,5,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200142672020,124,45,4,7,45,89,43,0,45,49,124,27,*,19,*,8,14,23,23,22,23,21,124
2200142672021,25,11,*,3,8,10,7,0,3,8,25,7,0,3,0,*,*,*,3,4,4,3,25
2200142672022,23,9,*,*,6,18,16,0,*,12,23,6,0,5,*,4,3,6,6,6,6,6,23
2200142672023,11,5,0,*,3,10,10,0,0,6,11,3,0,3,*,*,*,*,3,*,3,3,11
2200142672024,49,23,*,*,18,17,5,0,12,21,49,16,0,7,*,3,6,8,11,*,11,11,49
2200142672025,61,21,3,11,27,25,23,*,*,21,61,16,*,8,5,7,9,10,10,10,10,10,61
2200142672026,61,23,0,7,22,42,14,0,28,26,58,15,*,6,*,4,8,11,11,12,12,12,58
2200142672027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200142672028,10,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200142687000,83,33,3,6,27,43,36,0,6,38,83,29,*,13,4,13,15,18,18,11,18,18,83
2200142687001,74,32,0,5,23,40,35,0,4,34,74,22,0,12,*,12,13,16,16,10,16,16,74
2200142687002,6,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200142687003,3,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200142687004,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2200142691000,3599,1103,85,370,1490,2437,1754,19,670,1412,3558,747,46,488,121,262,431,587,658,641,667,667,3558
2200142691001,235,72,5,28,81,154,125,0,29,97,226,51,*,33,13,22,29,37,41,41,42,43,226
2200142691002,182,50,6,25,78,101,66,7,27,73,179,39,3,26,9,15,25,29,33,33,33,33,179
2200142691003,169,53,*,12,69,91,78,0,13,62,169,32,*,24,3,13,21,27,30,28,30,30,169
2200142691004,35,9,0,3,16,29,19,0,11,15,35,8,0,4,*,5,5,5,6,6,6,6,35
2200142691005,64,23,*,4,24,47,34,0,13,26,64,12,*,10,3,4,9,10,12,12,12,12,64
2200142691006,525,169,4,25,210,321,208,5,97,217,510,95,3,62,8,27,55,71,87,79,86,85,510
2200142691007,161,58,7,14,52,103,83,0,15,61,161,31,*,26,5,12,19,23,28,28,29,29,161
2200142691008,38,11,0,10,21,22,22,0,0,16,38,10,3,6,4,4,7,7,7,6,7,7,38
2200142691009,206,57,8,47,89,163,132,0,31,89,206,39,3,25,9,18,31,36,37,37,37,37,206
2200142691011,258,73,5,25,107,192,125,*,79,110,258,52,3,31,10,18,34,44,51,51,51,52,258
2200142691012,211,70,4,20,88,140,106,0,35,77,211,52,*,29,4,12,22,41,45,47,47,47,211
2200142691013,110,30,9,21,43,58,48,0,10,44,110,21,3,12,6,11,12,18,18,19,19,19,110
2200142691015,16,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*
2200142691016,95,25,6,20,40,66,62,0,4,36,95,24,*,16,5,13,12,19,20,17,20,20,95
2200142691017,3,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*
2200142691018,3,*,*,*,*,*,*,*,*,*,*,3,*,*,*,*,*,*,*,*,*,*,*
2200142691019,26,11,0,4,12,14,11,0,3,10,26,7,*,5,3,3,5,6,6,6,6,6,26
2200142691020,54,16,*,6,23,36,28,0,8,22,54,14,*,8,3,5,6,8,9,8,9,9,54
2200142691021,210,70,6,17,102,167,111,0,57,83,205,43,*,26,4,14,22,32,35,34,35,34,205
2200142691022,194,57,3,17,81,148,95,0,54,73,194,41,3,27,6,11,24,30,38,39,39,39,194
2200142691023,320,103,8,26,134,236,154,0,83,117,311,68,6,42,9,18,36,53,61,62,62,62,311
2200142691024,196,56,5,17,86,136,100,6,40,74,196,42,*,31,6,16,16,36,37,36,38,38,196
2200142691025,163,49,*,11,74,126,106,0,15,61,163,32,0,25,3,9,20,27,29,29,30,30,163
2200142691026,55,17,0,*,21,18,10,0,8,20,55,10,0,5,0,*,5,7,8,7,8,7,55
2200142691027,56,18,*,4,19,44,6,0,38,20,56,13,*,8,*,5,9,12,11,7,12,13,56
2200142691028,14,3,*,6,6,14,14,0,0,5,14,5,0,4,3,*,3,5,5,5,5,5,14
2200142704000,447,171,5,40,172,312,202,11,90,197,447,150,3,72,10,40,54,77,95,4,91,82,447
2200142704001,50,17,0,4,21,43,29,7,3,23,50,12,*,7,3,4,6,6,9,*,9,7,50
2200142704002,79,34,0,6,29,45,32,0,13,34,79,24,0,14,*,7,11,15,18,0,16,16,79
2200142704003,13,5,0,*,4,7,3,0,4,6,13,7,0,*,0,*,*,*,3,0,3,*,13
